
SUMMARY
=======
Min RR, 3
Max RR, 23
Min WinRate, 28.00%
Max WinRate, 31.00%
Final Balance,"9,280,095"
=======

trade_num,outcome,rrr,actual_risk_pct,risk_amount,amount,start_balance,end_balance
1          , Loss     , 12.0 , 2.53             , 253          , -253         , 10000          , 9747       
2          , Loss     , 12.0 , 2.53             , 247          , -247         , 9747           , 9500       
3          , Win      , 12.0 , 2.54             , 241          , 2025         , 9500           , 11525      
4          , Loss     , 12.0 , 2.53             , 292          , -292         , 11525          , 11233      
5          , Loss     , 12.0 , 2.54             , 285          , -285         , 11233          , 10948      
6          , Loss     , 12.0 , 2.53             , 277          , -277         , 10948          , 10671      
7          , Loss     , 12.0 , 2.53             , 270          , -270         , 10671          , 10401      
8          , Win      , 12.0 , 2.54             , 264          , 2218         , 10401          , 12619      
9          , Loss     , 12.0 , 2.54             , 320          , -320         , 12619          , 12299      
10         , Loss     , 12.0 , 2.54             , 312          , -312         , 12299          , 11987      
11         , Loss     , 12.0 , 2.54             , 304          , -304         , 11987          , 11683      
12         , Loss     , 12.0 , 2.53             , 296          , -296         , 11683          , 11387      
13         , Loss     , 12.0 , 2.54             , 289          , -289         , 11387          , 11098      
14         , Loss     , 12.0 , 2.53             , 281          , -281         , 11098          , 10817      
15         , Loss     , 12.0 , 2.53             , 274          , -274         , 10817          , 10543      
16         , Loss     , 12.0 , 2.53             , 267          , -267         , 10543          , 10276      
17         , Loss     , 12.0 , 2.53             , 260          , -260         , 10276          , 10016      
18         , Loss     , 12.0 , 2.54             , 254          , -254         , 10016          , 9762       
19         , Loss     , 12.0 , 2.53             , 247          , -247         , 9762           , 9515       
20         , Loss     , 12.0 , 2.53             , 241          , -241         , 9515           , 9274       
21         , Win      , 12.0 , 2.53             , 235          , 1974         , 9274           , 11248      
22         , Loss     , 12.0 , 2.53             , 285          , -285         , 11248          , 10963      
23         , Loss     , 12.0 , 2.54             , 278          , -278         , 10963          , 10685      
24         , Loss     , 12.0 , 2.54             , 271          , -271         , 10685          , 10414      
25         , Loss     , 12.0 , 2.54             , 264          , -264         , 10414          , 10150      
26         , Loss     , 12.0 , 2.53             , 257          , -257         , 10150          , 9893       
27         , Loss     , 12.0 , 2.54             , 251          , -251         , 9893           , 9642       
28         , Loss     , 12.0 , 2.53             , 244          , -244         , 9642           , 9398       
29         , Loss     , 12.0 , 2.53             , 238          , -238         , 9398           , 9160       
30         , Loss     , 12.0 , 2.53             , 232          , -232         , 9160           , 8928       
31         , Loss     , 12.0 , 2.53             , 226          , -226         , 8928           , 8702       
32         , Loss     , 12.0 , 2.53             , 220          , -220         , 8702           , 8482       
33         , Loss     , 12.0 , 2.53             , 215          , -215         , 8482           , 8267       
34         , Loss     , 12.0 , 2.53             , 209          , -209         , 8267           , 8058       
35         , Win      , 12.0 , 2.53             , 204          , 1714         , 8058           , 9772       
36         , Win      , 12.0 , 2.54             , 248          , 2084         , 9772           , 11856      
37         , Loss     , 12.0 , 2.54             , 301          , -301         , 11856          , 11555      
38         , Loss     , 12.0 , 2.54             , 293          , -293         , 11555          , 11262      
39         , Loss     , 12.0 , 2.53             , 285          , -285         , 11262          , 10977      
40         , Loss     , 12.0 , 2.53             , 278          , -278         , 10977          , 10699      
41         , Loss     , 12.0 , 2.53             , 271          , -271         , 10699          , 10428      
42         , Loss     , 12.0 , 2.53             , 264          , -264         , 10428          , 10164      
43         , Win      , 12.0 , 2.54             , 258          , 2168         , 10164          , 12332      
44         , Loss     , 12.0 , 2.54             , 313          , -313         , 12332          , 12019      
45         , Loss     , 12.0 , 2.54             , 305          , -305         , 12019          , 11714      
46         , Loss     , 12.0 , 2.54             , 297          , -297         , 11714          , 11417      
47         , Loss     , 12.0 , 2.53             , 289          , -289         , 11417          , 11128      
48         , Loss     , 12.0 , 2.53             , 282          , -282         , 11128          , 10846      
49         , Loss     , 12.0 , 2.54             , 275          , -275         , 10846          , 10571      
50         , Loss     , 12.0 , 2.54             , 268          , -268         , 10571          , 10303      
51         , Loss     , 12.0 , 2.28             , 235          , -235         , 10303          , 10068      
52         , Win      , 12.0 , 2.28             , 230          , 1932         , 10068          , 12000      
53         , Loss     , 12.0 , 2.28             , 274          , -274         , 12000          , 11726      
54         , Win      , 12.0 , 2.28             , 267          , 2243         , 11726          , 13969      
55         , Loss     , 12.0 , 2.28             , 319          , -319         , 13969          , 13650      
56         , Win      , 12.0 , 2.28             , 311          , 2613         , 13650          , 16263      
57         , Win      , 12.0 , 2.28             , 371          , 3117         , 16263          , 19380      
58         , Loss     , 12.0 , 2.28             , 442          , -442         , 19380          , 18938      
59         , Win      , 12.0 , 2.28             , 432          , 3629         , 18938          , 22567      
60         , Loss     , 12.0 , 2.28             , 515          , -515         , 22567          , 22052      
61         , Loss     , 12.0 , 2.28             , 503          , -503         , 22052          , 21549      
62         , Loss     , 12.0 , 2.28             , 492          , -492         , 21549          , 21057      
63         , Win      , 12.0 , 2.28             , 481          , 4041         , 21057          , 25098      
64         , Loss     , 12.0 , 2.28             , 573          , -573         , 25098          , 24525      
65         , Loss     , 12.0 , 2.28             , 560          , -560         , 24525          , 23965      
66         , Loss     , 12.0 , 2.28             , 547          , -547         , 23965          , 23418      
67         , Win      , 12.0 , 2.28             , 535          , 4494         , 23418          , 27912      
68         , Loss     , 12.0 , 2.28             , 637          , -637         , 27912          , 27275      
69         , Win      , 12.0 , 2.28             , 623          , 5234         , 27275          , 32509      
70         , Loss     , 12.0 , 2.28             , 742          , -742         , 32509          , 31767      
71         , Loss     , 12.0 , 2.28             , 725          , -725         , 31767          , 31042      
72         , Win      , 12.0 , 2.28             , 709          , 5956         , 31042          , 36998      
73         , Loss     , 12.0 , 2.28             , 845          , -845         , 36998          , 36153      
74         , Loss     , 12.0 , 2.28             , 826          , -826         , 36153          , 35327      
75         , Loss     , 12.0 , 2.28             , 807          , -807         , 35327          , 34520      
76         , Loss     , 12.0 , 2.28             , 788          , -788         , 34520          , 33732      
77         , Loss     , 12.0 , 2.28             , 770          , -770         , 33732          , 32962      
78         , Win      , 12.0 , 2.28             , 753          , 6326         , 32962          , 39288      
79         , Loss     , 12.0 , 2.28             , 897          , -897         , 39288          , 38391      
80         , Loss     , 12.0 , 2.28             , 877          , -877         , 38391          , 37514      
81         , Win      , 12.0 , 2.28             , 857          , 7199         , 37514          , 44713      
82         , Loss     , 12.0 , 2.28             , 1021         , -1021        , 44713          , 43692      
83         , Win      , 12.0 , 2.28             , 998          , 8384         , 43692          , 52076      
84         , Loss     , 12.0 , 2.29             , 1190         , -1190        , 52076          , 50886      
85         , Loss     , 12.0 , 2.28             , 1162         , -1162        , 50886          , 49724      
86         , Loss     , 12.0 , 2.28             , 1136         , -1136        , 49724          , 48588      
87         , Loss     , 12.0 , 2.28             , 1110         , -1110        , 48588          , 47478      
88         , Win      , 12.0 , 2.28             , 1084         , 9106         , 47478          , 56584      
89         , Loss     , 12.0 , 2.29             , 1293         , -1293        , 56584          , 55291      
90         , Loss     , 12.0 , 2.28             , 1263         , -1263        , 55291          , 54028      
91         , Win      , 12.0 , 2.28             , 1234         , 10366        , 54028          , 64394      
92         , Win      , 12.0 , 2.28             , 1471         , 12357        , 64394          , 76751      
93         , Loss     , 12.0 , 2.28             , 1753         , -1753        , 76751          , 74998      
94         , Loss     , 12.0 , 2.28             , 1713         , -1713        , 74998          , 73285      
95         , Loss     , 12.0 , 2.28             , 1674         , -1674        , 73285          , 71611      
96         , Loss     , 12.0 , 2.28             , 1636         , -1636        , 71611          , 69975      
97         , Loss     , 12.0 , 2.29             , 1599         , -1599        , 69975          , 68376      
98         , Loss     , 12.0 , 2.28             , 1562         , -1562        , 68376          , 66814      
99         , Loss     , 12.0 , 2.28             , 1526         , -1526        , 66814          , 65288      
100        , Loss     , 12.0 , 2.28             , 1491         , -1491        , 65288          , 63797      
